,TV,radio,newspaper,sales,newspaper_transformed
0,230.1,37.8,69.2,22.1,11.719889333914665
1,44.5,39.3,45.1,10.4,9.400769366894494
2,17.2,45.9,69.3,9.3,11.728438014322819
3,151.5,41.3,58.5,18.5,10.760018214452364
4,180.8,10.8,58.4,12.9,10.750585561561495
5,8.7,48.9,75.0,7.2,12.204361988325
6,57.5,32.8,23.5,11.8,6.580548397772763
7,120.2,19.6,11.6,13.2,4.282207922567397
8,8.6,2.1,1.0,4.8,0.0
9,199.8,2.6,21.2,10.6,6.201372444063689
10,66.1,5.8,24.2,8.6,6.691638911177241
11,214.7,24.0,4.0,17.4,1.8805611082073383
12,23.8,35.1,65.9,9.2,11.433657964910735
13,97.5,7.6,7.2,9.7,3.0732629063645884
14,204.1,32.9,46.0,19.0,9.498883877040196
15,195.4,47.7,52.9,22.4,10.216597438268938
16,67.8,36.6,114.0,12.5,15.006456359054674
17,281.4,39.6,55.8,24.4,10.50196830356956
18,69.2,20.5,18.3,11.3,5.687488762165002
19,147.3,23.9,19.1,14.6,5.8337057644405785
20,218.4,27.7,53.4,18.0,10.26643573005694
21,237.4,5.1,23.5,12.5,6.580548397772763
22,13.2,15.9,49.6,5.6,9.880589487503823
23,228.3,16.9,26.2,15.5,6.999122287455209
24,62.3,12.6,18.3,9.7,5.687488762165002
25,262.9,3.5,19.5,12.0,5.905482651877575
26,142.9,29.3,12.6,15.0,4.517556239918254
27,240.1,16.7,22.9,15.9,6.48378936782105
28,248.8,27.1,22.9,18.9,6.48378936782105
29,70.6,16.0,40.8,10.5,8.915555767994638
30,292.9,28.3,43.2,21.4,9.189840077835303
31,112.9,17.4,38.6,11.9,8.655776787719399
32,97.2,1.5,30.0,9.6,7.547803938578133
33,265.6,20.0,0.3,17.4,-0.9451809129256273
34,95.7,1.4,7.4,9.5,3.1363596253975894
35,290.7,4.1,8.5,12.8,3.4668634033368457
36,266.9,43.8,5.0,25.4,2.2990914100571853
37,74.7,49.4,45.7,14.7,9.466303834909214
38,43.1,26.7,35.1,10.1,8.224133941321025
39,228.0,37.7,32.0,21.5,7.820435756559616
40,202.5,22.3,31.6,16.6,7.766717964715814
41,177.0,33.4,38.7,17.1,8.667768643577181
42,293.6,27.7,1.8,20.7,0.6666252522805712
43,206.9,8.4,26.4,12.9,7.029110414918006
44,25.1,25.7,43.3,8.5,9.201074317761698
45,175.1,22.5,31.5,14.9,7.7532269373057785
46,89.7,9.9,35.7,10.6,8.29984873643479
47,239.9,41.5,18.5,23.2,5.724385312919454
48,227.2,15.8,49.9,14.8,9.911661951731155
49,66.9,11.7,36.8,9.7,8.436764125993172
50,199.8,3.1,34.6,11.4,8.160462473547115
51,100.4,9.6,3.6,10.7,1.6961604467622273
52,216.4,41.7,39.6,22.6,8.774895376324723
53,182.6,46.2,58.7,21.2,10.778855485972137
54,262.7,28.8,15.9,20.2,5.225149722229519
55,198.9,49.4,60.0,23.7,10.9003995486947
56,7.3,28.1,41.4,5.5,8.984986220005986
57,136.2,19.2,16.6,13.2,5.363953510356246
58,210.8,49.6,37.7,23.8,8.547029125415296
59,210.7,29.5,9.3,18.4,3.6918925744810305
60,53.5,2.0,21.4,8.1,6.235264407635324
61,261.3,42.7,54.7,24.2,10.394761067494855
62,239.3,15.5,27.3,15.7,7.1624511934192885
63,102.7,29.6,8.4,14.0,3.4378836744918186
64,131.1,42.8,28.9,18.0,7.393341977323862
65,69.0,9.3,0.9,9.3,-0.10306527385678033
66,31.5,24.6,2.2,9.5,0.9345553466319203
67,139.3,14.5,10.2,13.4,3.9320013578573243
68,237.4,27.5,11.0,18.9,4.135302999592638
69,216.8,43.9,27.2,22.3,7.1477627805621005
70,199.1,30.6,38.7,18.3,8.667768643577181
71,109.8,14.3,31.7,12.4,7.780184237547031
72,26.8,33.0,19.3,8.8,5.869702128037513
73,129.4,5.7,31.3,11.0,7.726170120491591
74,213.4,24.6,13.1,17.0,4.631171108631092
75,16.9,43.7,89.4,8.7,13.320103542129248
76,27.5,1.6,20.7,6.9,6.115822301980297
77,120.5,28.5,14.2,14.2,4.872560441754442
78,5.4,29.9,9.4,5.3,3.7192190955815394
79,116.0,7.7,23.1,11.0,6.516204114669094
80,76.4,26.7,22.3,11.8,6.385547569221984
81,239.8,4.1,36.9,12.3,8.449092527604336
82,75.3,20.3,32.5,11.3,7.887037843982512
83,68.4,44.5,35.6,13.6,8.287281171610216
84,213.5,43.0,33.8,21.7,8.057467530218794
